danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,main_artist,playlist
0.747,0.81,11,-8.352,0,0.0541,0.0688,0.0405,0.0592,0.937,130.012,audio_features,0BCvOJLiHrqQaZzr74JknK,spotify:track:0BCvOJLiHrqQaZzr74JknK,https://api.spotify.com/v1/tracks/0BCvOJLiHrqQaZzr74JknK,https://api.spotify.com/v1/audio-analysis/0BCvOJLiHrqQaZzr74JknK,285213,4,18,Vishal-Shekhar,Hindi
0.689,0.868,10,-7.156,0,0.0415,0.345,0.000409,0.204,0.869,94.987,audio_features,5gpcxwkwGqSwPxOhhR52vp,spotify:track:5gpcxwkwGqSwPxOhhR52vp,https://api.spotify.com/v1/tracks/5gpcxwkwGqSwPxOhhR52vp,https://api.spotify.com/v1/audio-analysis/5gpcxwkwGqSwPxOhhR52vp,186933,4,20,Robert Uhlmarash,Hindi
0.69,0.939,10,-6.441,0,0.0583,0.0102,0.0288,0.12,0.615,125.006,audio_features,3UaP2PQwhA31keZXt7oPLA,spotify:track:3UaP2PQwhA31keZXt7oPLA,https://api.spotify.com/v1/tracks/3UaP2PQwhA31keZXt7oPLA,https://api.spotify.com/v1/audio-analysis/3UaP2PQwhA31keZXt7oPLA,342093,4,43,Vishal-Shekhar,Hindi
0.667,0.74,7,-6.406,1,0.0314,0.301,1.71e-06,0.112,0.189,103.957,audio_features,4LwrgltRSrddxeyhIPSoqa,spotify:track:4LwrgltRSrddxeyhIPSoqa,https://api.spotify.com/v1/tracks/4LwrgltRSrddxeyhIPSoqa,https://api.spotify.com/v1/audio-analysis/4LwrgltRSrddxeyhIPSoqa,196773,4,51,Troy,Peak Trap
0.814,0.9,5,-3.318,0,0.0605,0.0112,2.01e-06,0.0631,0.761,125.988,audio_features,3K01q0jtSNHeqx5gs97HH2,spotify:track:3K01q0jtSNHeqx5gs97HH2,https://api.spotify.com/v1/tracks/3K01q0jtSNHeqx5gs97HH2,https://api.spotify.com/v1/audio-analysis/3K01q0jtSNHeqx5gs97HH2,196960,4,48,Corbin Bleu,Peak Trap
0.711,0.861,0,-4.863,0,0.106,0.00731,0,0.33,0.687,136.999,audio_features,7e8gFGk8VXcc8BmkaN58l4,spotify:track:7e8gFGk8VXcc8BmkaN58l4,https://api.spotify.com/v1/tracks/7e8gFGk8VXcc8BmkaN58l4,https://api.spotify.com/v1/audio-analysis/7e8gFGk8VXcc8BmkaN58l4,231093,4,32,Troy,Peak Trap
0.628,0.873,9,-5.69,1,0.0355,0.094,0,0.555,0.565,140.099,audio_features,0oo5zVjH4CyTsm5FctRlnL,spotify:track:0oo5zVjH4CyTsm5FctRlnL,https://api.spotify.com/v1/tracks/0oo5zVjH4CyTsm5FctRlnL,https://api.spotify.com/v1/audio-analysis/0oo5zVjH4CyTsm5FctRlnL,125493,4,34,Ashley Tisdale,Peak Trap
0.795,0.784,5,-5.933,0,0.0983,0.0752,0,0.101,0.9,124.913,audio_features,5U4wYRHrCRxRP6iQfM824C,spotify:track:5U4wYRHrCRxRP6iQfM824C,https://api.spotify.com/v1/tracks/5U4wYRHrCRxRP6iQfM824C,https://api.spotify.com/v1/audio-analysis/5U4wYRHrCRxRP6iQfM824C,50613,4,47,Selena Gomez,Peak Trap
0.714,0.946,7,-3.54,1,0.089,0.164,0,0.0658,0.895,163.085,audio_features,4Cd01GWLuMTNZhW0DE7cF4,spotify:track:4Cd01GWLuMTNZhW0DE7cF4,https://api.spotify.com/v1/tracks/4Cd01GWLuMTNZhW0DE7cF4,https://api.spotify.com/v1/audio-analysis/4Cd01GWLuMTNZhW0DE7cF4,117840,4,45,Phineas and the Ferbtones,Peak Trap
0.599,0.888,11,-2.931,0,0.0514,0.0273,0,0.28,0.833,121.05,audio_features,5lEsM6qpuzuZwij6jIZPvP,spotify:track:5lEsM6qpuzuZwij6jIZPvP,https://api.spotify.com/v1/tracks/5lEsM6qpuzuZwij6jIZPvP,https://api.spotify.com/v1/audio-analysis/5lEsM6qpuzuZwij6jIZPvP,197587,4,54,Big Time Rush,Peak Trap
0.614,0.919,11,-3.011,0,0.0413,0.00577,0,0.334,0.514,104.063,audio_features,10xcIQQEJSEIOgG1HvS3t9,spotify:track:10xcIQQEJSEIOgG1HvS3t9,https://api.spotify.com/v1/tracks/10xcIQQEJSEIOgG1HvS3t9,https://api.spotify.com/v1/audio-analysis/10xcIQQEJSEIOgG1HvS3t9,169250,4,49,Selena Gomez,Peak Trap
0.593,0.97,10,-4.187,0,0.0716,0.0703,8.84e-06,0.314,0.809,131.995,audio_features,1GBknQ67DCfKTPms1dw9EW,spotify:track:1GBknQ67DCfKTPms1dw9EW,https://api.spotify.com/v1/tracks/1GBknQ67DCfKTPms1dw9EW,https://api.spotify.com/v1/audio-analysis/1GBknQ67DCfKTPms1dw9EW,200827,4,57,Hannah Montana,Peak Trap
0.734,0.698,11,-3.923,1,0.143,0.0173,0,0.182,0.967,124.858,audio_features,5Plb8xps8VZRF2sXlrPi3Q,spotify:track:5Plb8xps8VZRF2sXlrPi3Q,https://api.spotify.com/v1/tracks/5Plb8xps8VZRF2sXlrPi3Q,https://api.spotify.com/v1/audio-analysis/5Plb8xps8VZRF2sXlrPi3Q,50933,4,41,Raven-Symoné,Peak Trap
0.531,0.766,8,-7.692,1,0.0582,0.0056,0,0.201,0.532,130.048,audio_features,1rS3J4u1G8f6hbmTosa8Nf,spotify:track:1rS3J4u1G8f6hbmTosa8Nf,https://api.spotify.com/v1/tracks/1rS3J4u1G8f6hbmTosa8Nf,https://api.spotify.com/v1/audio-analysis/1rS3J4u1G8f6hbmTosa8Nf,179493,4,51,Drake Bell,Peak Trap
0.587,0.882,9,-5.01,0,0.308,0.00337,0,0.271,0.755,208.07,audio_features,6p6TjiJHc1kJQt5dXzkdrs,spotify:track:6p6TjiJHc1kJQt5dXzkdrs,https://api.spotify.com/v1/tracks/6p6TjiJHc1kJQt5dXzkdrs,https://api.spotify.com/v1/audio-analysis/6p6TjiJHc1kJQt5dXzkdrs,216250,4,55,CHAD,Peak Trap
0.668,0.964,7,-4.335,0,0.0806,0.128,2.32e-06,0.705,0.758,114.866,audio_features,0pVckwSpyc30WvDUffQLk3,spotify:track:0pVckwSpyc30WvDUffQLk3,https://api.spotify.com/v1/tracks/0pVckwSpyc30WvDUffQLk3,https://api.spotify.com/v1/audio-analysis/0pVckwSpyc30WvDUffQLk3,149027,4,28,Ashley Tisdale,Peak Trap
0.815,0.824,0,-4.511,0,0.251,0.189,0,0.0683,0.888,101.89,audio_features,2kM7fxFNAtA7lo4nAS2Hvj,spotify:track:2kM7fxFNAtA7lo4nAS2Hvj,https://api.spotify.com/v1/tracks/2kM7fxFNAtA7lo4nAS2Hvj,https://api.spotify.com/v1/audio-analysis/2kM7fxFNAtA7lo4nAS2Hvj,97693,4,42,Candace,Peak Trap
0.532,0.939,7,-3.14,1,0.0637,0.101,0,0.385,0.797,141.944,audio_features,3waY7uu8cniaQw5Auf0MOp,spotify:track:3waY7uu8cniaQw5Auf0MOp,https://api.spotify.com/v1/tracks/3waY7uu8cniaQw5Auf0MOp,https://api.spotify.com/v1/audio-analysis/3waY7uu8cniaQw5Auf0MOp,147280,4,48,Sharpay Evans,Peak Trap
0.454,0.708,10,-4.526,0,0.0675,0.00124,0.000181,0.0679,0.483,192.18,audio_features,5Q0Nhxo0l2bP3pNjpGJwV1,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067,4,72,Miley Cyrus,Peak Trap
0.363,0.897,4,-4.069,1,0.0666,0.0073,0,0.35,0.367,144.868,audio_features,3JG2VnwaVmVLf8BUGw7QlK,spotify:track:3JG2VnwaVmVLf8BUGw7QlK,https://api.spotify.com/v1/tracks/3JG2VnwaVmVLf8BUGw7QlK,https://api.spotify.com/v1/audio-analysis/3JG2VnwaVmVLf8BUGw7QlK,194600,4,39,Jonas Brothers,Peak Trap
0.814,0.884,11,-5.238,0,0.112,0.0803,0,0.0389,0.962,120.077,audio_features,76Wrq73y3Ef7VNM4CGSZ0l,spotify:track:76Wrq73y3Ef7VNM4CGSZ0l,https://api.spotify.com/v1/tracks/76Wrq73y3Ef7VNM4CGSZ0l,https://api.spotify.com/v1/audio-analysis/76Wrq73y3Ef7VNM4CGSZ0l,93600,4,41,2 Guys n the Parque,Peak Trap
0.664,0.899,7,-3.848,1,0.265,0.222,1.25e-05,0.0909,0.811,164.806,audio_features,0gG4SZ5weal3dd11pf5SzV,spotify:track:0gG4SZ5weal3dd11pf5SzV,https://api.spotify.com/v1/tracks/0gG4SZ5weal3dd11pf5SzV,https://api.spotify.com/v1/audio-analysis/0gG4SZ5weal3dd11pf5SzV,47240,4,40,Randy Crenshaw,Peak Trap
